Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,729,324","1,616,567","1,779,656","1,770,453","1,784,748","1,787,891","1,909,947","1,834,586","1,817,427","1,782,019","1,742,503","1,769,079","1,806,718","1,829,253","1,838,913","1,803,219","1,804,018",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,100","116,844","148,253","149,631","129,041","124,291","124,212","127,195","119,853","115,430","116,587","108,193","122,125","159,776","218,712","209,860","197,590",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,783","68,162","88,955","83,157","271,841","274,913","267,320","250,668","206,446","252,865","261,680","254,690","232,621","344,872","379,955","372,688","403,572",,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,444,767","1,239,060","1,569,262","1,950,506","1,578,128","1,498,852","1,717,821","1,353,026","2,411,004","2,439,915","2,993,152","3,018,047","3,032,437","4,272,588","4,765,917","4,889,190","5,134,418",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,754,159","139,615,339","172,142,811","177,864,705","180,019,938","183,277,942","192,100,723","205,398,067","227,951,214","236,360,107","240,742,615","249,842,300","252,293,762","261,346,541","265,093,498","274,726,323","279,784,079",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"595,321","3,203,523","3,412,337","3,943,764","3,804,434","4,832,502","3,457,633","5,859,054","7,002,791","7,597,982","6,295,738","11,324,425","10,920,012","8,996,367","9,512,204","4,394,695","5,307,852",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,766,302","99,210,426","123,504,238","127,916,039","130,329,335","133,248,271","142,193,605","144,361,328","157,299,463","166,165,008","175,453,447","183,817,071","187,234,974","186,883,072","182,190,322","193,730,976","198,957,049",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,209,157","4,828,276","5,084,167","5,044,185","4,751,005","4,718,152","4,429,143","4,682,356","7,524,479","9,239,426","7,256,580","8,627,673","11,816,244","14,773,927","17,845,043","17,019,829","16,089,809",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"720,039","1,013,193","83,616","17,209","41,499","32,399","259,990","128,388","231,294",,"336,077","34,063",,"140,481","364,649","142,695","26,250",,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,335","16,202","17,498","11,545","11,676","12,232","21,811","53,643","13,665","13,558","14,853","9,855","11,211","15,582","34,654","14,354","15,603",,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,872","10,211","8,606","16,693","30,524","21,166","24,482","21,876","1,267","23,026","32,754","33,864","29,154","28,581","33,084","37,040","268,684",,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,840,359","2,185,565","3,082,705","2,313,532","3,595,581","3,388,690","2,980,577","2,902,418","3,517,226","3,934,459","3,957,051","4,148,274","4,741,729","6,598,545","5,718,204","6,354,844","5,816,990",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,184,505","2,239,236","2,229,797","2,279,053","2,227,329","2,279,834","1,720,888","1,762,082","1,719,743","5,293,994","5,281,102","5,378,391","5,275,909","8,127,854","8,041,262","8,165,021","12,036,878",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,675,080","121,789,372","150,700,354","155,670,321","158,928,792","161,691,474","169,013,589","181,461,568","203,418,335","211,432,827","214,779,511","223,671,290","225,080,891","232,981,438","236,068,139","246,340,044","250,638,271",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,618,163","9,618,163","11,529,742","11,529,742","13,950,987","13,950,987","14,447,753","14,447,753","16,325,961","16,325,961","16,325,961","18,366,706","18,366,706","18,366,706","18,366,706","18,366,706","18,366,706",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,518,064","2,512,799","2,541,413","2,541,413","157,384","157,384","157,384","157,384","37,216","37,216","37,216","37,216","37,216","37,216","37,216","37,216","37,216",,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,341,199","1,984,326","2,457,544","2,635,616","281,954","1,223,733","2,600,536","3,733,762","3,211,925","2,620,687","3,666,430","1,922,588","2,767,254","2,835,149","3,075,058","1,698,485","2,083,789",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,451,341","3,547,043","4,738,877","5,280,661","6,365,740","5,873,676","5,460,741","5,191,165","4,549,537","5,474,935","5,443,141","5,334,258","5,517,827","6,587,714","7,006,381","7,731,022","8,095,154",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,312","163,637","174,882","206,952","335,080","380,687","420,720","406,435","408,240","468,482","490,356","510,241","523,867","538,319","539,998","552,850","562,942",,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,079,079","17,825,967","21,442,458","22,194,384","21,091,145","21,586,468","23,087,133","23,936,499","24,532,879","24,927,281","25,963,104","26,171,010","27,212,871","28,365,103","29,025,359","28,386,279","29,145,807",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,754,159","139,615,339","172,142,811","177,864,705","180,019,938","183,277,942","192,100,723","205,398,067","227,951,214","236,360,107","240,742,615","249,842,300","252,293,762","261,346,541","265,093,498","274,726,323","279,784,079",,,,
