Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2074.PDF
Net operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,114,705,620","2,838,340,348","2,750,709,414","2,818,940,799","3,543,519,096","2,644,071,447",,,"3,852,745,063",,,,,,,,,
Operating expense,,,,,,,,,,,,,,,,,,,,,,,,,"423,412",8,1,2.0,"383,982",9,"203,822","316,728","449,456",1,"218,385",3.0,,"131,377","288,930","477,227",,"140,768",,,547.051,,,,,,,,,,,,,,,,,,,,,,,,"753,431"
Personnel expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,648,306",,,,,,,"721,744,141","989,312,869","766,565,013","723,551,249","1,114,652,552",,,,"1,199,063,406",,,,,,,,,
Other operating expenses,,,,,,,,,,,,,,,,,,,,,,,,,"423,412",8,1,2.0,"383,982",9,"203,822","316,728","449,456",1,"218,385",3.0,"507,843","131,377","288,930","477,227",,"140,768",,,547.051,,"645,430",,,,,,,,,,"576,995,867",,,,,,,,,,,,"753,431"
Depreciation & Amortisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,359,178","83,042,618","93,481,823","89,603,397","99,355,564",,,,"101,920,668",,,,,,,,,
Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,"1,407,892",2,7,1.0,1,3,"655,258","989,237","1,231,010",2,"669,268",1.0,,"416,455","897,536","1,427,109",,"537,875",,,"2,181,699",,,,,,,"733,174,310","988,112,264","1,571,253,380","1,684,702,027","1,775,060,572","731,617,179",,,"1,919,919,570",,,,,,,,,"1,849,975"
Non-operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,568","8,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-operating expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before income tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"730,092,278","976,475,950","1,571,619,189","1,645,002,152","1,765,423,219","629,527,518",,,"1,944,982,167",,,,,,,,,
Income tax expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,193,649","4,963,423,066","3,615,237,180","3,628,089,180","28,297,575","277,536,859",,,"296,218,884",,,"135,460,759",,,,,,
Deferred Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,232,381",,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508,884,789","706,064,111","1,100,133,433","1,151,501,506","1,235,796,253",,,,,,,,,,,,,
Condensed Statement of Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508,884,789","706,064,111","1,100,133,433","1,151,501,506","1,235,796,253",,,,,,,,,,,,,
Other Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,976",,"51,342",,,,,,,,,,,,,,,,,,,,,,
Total Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.522.510,,"1,562,801",,,,,,,,,,,,,,,,,,,,,,
Earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.83,,45.41,,,,,,,,,,,,,,,
Basic earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.83,34.61,45.41,39.05,40.47,33.94,,,48.58,,,,,,,,,
Diluted earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.61,,39.05,40.47,33.94,,,48.58,,,,,,,,,
Profit attributable to:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity holders of the Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508,884,789","642,821,393","1,079,270,229","1,121,025,899","1,076,159,093","379,376,512",,,"1,309,289,552",,,,,,,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"572,389,181","596,079,172.17","616,920,120.9","1,070,967,277","1,130,088,676",,,"1,289,140,201",,,1,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508,884,789","706,064,111","1,100,133,433","1,151,501,506","1,235,796,253",,,,,,,,,,,,,
