Assets, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Liabilities,"83,443,256","79,521,488","82,740,974","86,386,830","86,359,835","91,365,061",1,"108,368,920",1,"106,284,193","112,705,481","121,082,821","113,023,503",1,"121,158,048",,,,,,,,,,,,,,,,,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,3.0,"1,074,497,374","2,007,154,966","972,726,182","874,961,738","874,961,738","1,018,891,723","2,260,353,820","1,889,437,719","809,125,108","511,109,777","543,737,147","597,134,500","1,090,678,643","582,105,350","879,055,432","722,340,044"
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,4.0,"41,843,286","26,924,286","26,924,286","29,957,969","23,920,613","23,920,613","5,674,803,679","6,901,856,995","6,062,640,951","5,630,200,156","6,098,224,093","5,946,991,046","5,888,868,046","5,834,885,046","70,000,000","70,000,000"
Deposits from customers,,,,,,,,,,,,,,,,,,1.0,"117,200,788,938","114,798,221,298","117,122,878,927","122,700,366,557","142,114,284,983","145,469,372,750","148,994,868,819","151,600,836,805","162,743,229,012","173,098,590,239","182,840,958,513","187,373,810,612","196,063,952,128","196,581,958,969","212,837,603,439","229,334,965,905"
Borrowing,,,,,,,,,,"300,031","12,495","16,162","30,772","3,410,668","144,025",4,4.0,,,,,,,,,,1,,,,,,,
Provisions,,,,,,,,,,,,,,,"6,548,293",,1.0,,,,,,,,,,"56,838,989","86,067,658",,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,3.0,"3,705,208,378","3,393,030,566","3,601,639,585","3,407,995,036","3,782,498,389","3,988,926,032","4,467,938,606","5,144,229,478","4,431,395,739","4,476,712,154","4,324,720,735","4,083,129,792","4,259,747,017","4,086,766,472","4,075,026,767","4,004,168,965"
Other liabilities,"8,483,302","6,515,672","10,336,487","4,506,401","4,499,742","6,222,837",1,"12,109,183","17,687,569","12,387,216","7,195,552","15,543,886","8,003,828","5,889,668","6,336,188",1,1.0,8.0,"13,437,844,866","6,109,198,024","5,336,264,504","6,220,923,114","5,906,052,426","6,082,396,002","6,399,240,529","4,139,301,069","3,286,751,102","3,113,259,797","4,529,556,921","5,432,893,242","5,040,139,639","5,059,754,121","5,446,464,348","5,263,030,226"
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,493,918,012","3,493,918,012","3,493,918,012","3,493,918,012","3,494,336,625","3,494,471,766","3,494,081,325","3,494,216,466"
Total liabilities,,,,,,,,,,,,,,,"99,831,378","93,431,456",,1.0,"136,473,460,749","126,796,457,048","134,626,987,410","140,237,194,368","160,244,527,588","164,180,119,044","175,314,512,685","177,263,220,869","189,358,585,066","198,354,880,237","206,871,479,956","210,606,911,151","223,715,936,180","216,362,763,715","227,788,006,641","243,213,548,605"
Equity,26.92%,19.69%,12.92%,13.88%,43.40%,45.38%,41.97%,56.53%,75.53%,55.39%,35.25%,31.90%,26.70%,26.88%,25.86%,,,,,,,,,,,,,,,,,,,
Share premium,,,,,,,,,,,,,,,"48,547",,,,,,,,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,"24,072,518",,1.0,,,,,,,,,,"15,148,358,564","17,225,601,418",,,,,,
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,2.0,"29,437,918,430","29,414,905,630","29,193,372,427","29,102,782,423","30,182,028,066","30,857,664,535","31,993,420,753","34,147,630,171","33,258,719,035","34,174,560,803","34,303,033,524","34,660,490,535","35,786,460,152","36,093,422,207","34,974,907,877","35,554,587,569"
Total equity,,,,,,,,,,,,,,,,,,,"29,437,918,430",,,,,,,,"33,258,719,035","34,174,560,803",,,,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,1.0,"165,911,379,179","156,211,362,678","163,820,359,837","169,339,976,791","190,426,555,654","195,037,783,579","207,307,933,437","211,410,851,040","222,617,304,101","232,529,441,039","241,174,513,481","245,267,401,686","259,502,396,331","252,456,185,921","262,762,914,518","278,768,136,175"
