Particulars, Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Other Assets,,,,,,,,,,"779,162",,"745,480","536,188","837,473","564,730","911,175","6,122,863","1,365,199","978,524","1,285,693","1,127,295","1,490,326","1,124,356","1,174,856","1,237,128","1,426,781","1,524,882","1,588,107","2,569,096",,"1,683,119","1,786,011","3,820,787",,"2,470,737","2,918,736","3,926,011","3,520,693","3,440,284","3,955,515","5,148,873","4,429,289","2,700,651",,,"4,900,000","2,520,748","290,575","31,845","583,576","685,000","1,809,125",,"843,394","166,717","73,767","134,554","467,117","434,215","281,286","219,780","490,276","173,970","64,455",,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,"644,189",,"2,112,703","3,102,451","986,192","797,780","1,271,667","1,795,151","451,476","2,393,658","1,443,861","2,086,664","573,749","1,179,807","1,903,494","2,757,742","653,696","1,301,532","2,021,644","2,918,815",,"1,382,108","2,088,032","2,879,435",,"2,426,247","3,540,847","5,057,077","1,401,827","2,828,193","4,577,252","6,748,565","2,205,818","4,478,760",,"49,464","3,068,910","6,206,662",,,,,"1,443,885",,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,"341,313",,"1,407,199","1,322,190","501,145","1,198,180","1,814,114","4,331,026","731,930","1,473,702","2,198,447","2,873,335","587,724","1,105,987","1,630,295","2,179,182","614,545","1,189,522","1,711,543","2,258,737",,"998,483","1,502,487","2,116,993",.,"978,001","1,375,236","1,828,493","490,930","1,061,560","1,902,289","3,009,549","1,174,877","2,380,718",,"5,233,688","1,758,285","3,535,580",,,,,"2,092,567",,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,"302,876",,3.13.2,"1,529,661","484,047","797,780","1,271,667","1,795,151","451,476",3.13.2,"1,443,861","2,086,664","573,749","1,179,807","1,903,494","2,757,742","653,696","1,301,532","2,021,644","2,918,815",,"1,382,108","2,088,032","2,879,435",,3.13.2,3.13.2,"3,228,585","910,897",3.13.2,"2,674,962","3,739,016","1,030,941","2,098,042",,"4,924,773","1,310,625","2,671,082",,,,,"1,443,885",,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,"133,124","208,123",,"120,077","182,710",,"45,855",,,,,,,,,,,,,,,"303,619",,,"198,090",,,,,,,,,"375,614",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,"35,418",,"991,435","142,312","21,988","49,312","70,666",,"33,898","75,830","116,023","179,822","54,529","105,766","163,798","249,385","49,773","100,499","199,368","309,475",,"143,149","282,060","389,007",,"158,206","340,917","509,798","114,311","259,321","384,330","565,130","125,734","284,788",,"547,061","44,994","184,284",,,,,"18,407",,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,"14,236",,"36,655","47,880","3,481","17,179","31,183","203,468","34,296","59,901","74,423","109,679","14,642","49,061","65,822","98,905","7,075","36,380","49,731","67,028",,"32,684","49,349","87,273",.,"55,073","84,226","112,976","21,533","14,217","65,862","94,026","28,399","55,762",,"130,399",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,"407,026",,"1,867,718","1,921,376","563,307","984,348","1,556,226","2,192,940","565,525","1,163,863","1,802,602","2,609,735","717,186","1,478,512","2,337,353","3,372,853","778,144","1,572,705","2,469,629","3,550,200",,"1,725,544","2,645,256","3,659,335",,"1,780,782","2,788,844","4,137,295","1,125,294","2,237,976","3,374,597","4,744,352","1,274,666","2,610,739",,"5,717,142","1,602,716","3,330,021",,,,,"1,850,330",,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,"55,551",,"159,602","776,364","50,103","107,027","169,756",,"88,282","160,895","237,097","352,050","93,687","167,459","297,134","461,809","128,513","229,818","355,257","511,864",,"242,809","356,035","687,510",,"319,548","465,180","699,662","186,157","334,980","484,546","881,422","242,441","429,945",,"1,037,617",,,,,,,,,,,,,,,,,,,,,,,
