Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Assets ,,,,,,,,,,2.7),2.7),2.7),2.7),2.7),,2.7),2.7),"50,008,939","54,955,592","56,515,445","58,051,122","58,369,726","58,971,475","59,604,517","64,793,964","62,627,815","62,482,222","58,460,976","61,082,973","62,811,705","64,513,255",,"59,277,291","62,664,052","69,977,989","75,062,180","78,435,387","84,294,612","96,878,227","100,881,557","99,752,371",,,,"102,323,788",,,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,"4,632,087","4,877,826","6,037,582","12,259,059","6,431,741","5,508,382","5,339,218","5,158,494","4,750,080","7,713,403","7,072,814","4,406,975","5,264,016","6,654,971","5,639,901","6,321,670",,"8,435,748","7,902,470","5,749,695","6,266,981","10,389,819","6,877,122","7,120,116","16,340,072","13,229,681",,,,"10,922,595",,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,"12,142,626","12,306,962","13,186,974","16,255,133","17,851,936","18,657,303                17,851,936                       12,306,962","17,579,756","18,911,022","21,287,246","18,264,842","23,554,526","24,463,452","23,277,249","23,549,933","23,647,282","25,906,120","23,005,018","23,416,626","17,391,166","17,722,396","18,323,427","17,007,845","12,243,789","9,319,698","13,209,430","20,802,563","19,822,442","19,191,309","23,001,247","25,253,564","19,778,675","20,943,220",,,,"13,745,607",,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,,,,,,"22,831,194","25,025,655","26,142,094","27,976,206","28,096,357","28,550,425","28,788,147","30,052,657","32,325,616","33,592,705","35,279,583","37,211,127","38,941,956",,"39,979,173","39,854,032","41,818,188","46,204,589","46,995,416","52,378,948","59,772,328","61,715,242","63,025,023",,,,"74,502,222",,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,"964,323","966,900","971,375","3,464,607",,"3,868,435","1,733,730","1,752,027","778,340","1,414,047","1,318,344","1,110,542","1,071,629","1,012,708","1,023,788","1,162,996","1,291,954","1,432,441","1,559,898","1,725,251","1,810,806",,"1,992,285","2,039,888","2,103,259","2,759,746","3,135,787","3,657,383","4,503,517","4,970,034","4,862,429",,,,"4,762,775",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,"355,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,,,-,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,"778,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,"14,164","14,947","11,115",,"6,177","2,074","2,076","2,070","1,826",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,,,-,,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,"1,110,020 �","1,063,709","1,020,622","1,102,854","1,039,469                  1,102,854                         1,110,020","1,028,083","1,059,183","1,102,799","1,157,441","1,165,254","1,129,887","1,223,262","1,338,298","1,472,112","1,591,847","1,867,956","2,044,468","2,080,344","2,107,760","2,011,140","2,028,813",,"2,223,477","2,291,814","2,357,141","2,598,161","2,779,704","2,869,123","3,203,024","3,557,590","3,807,416",,,,"7,809,451",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,"459,208","498,360 �","471,074","415,422","656,829","630,430                     656,829                            498,360","618,382","95,173","20,276","218,030","346,658","461,251","107,853","222,741","343,557","477,247","112,100","226,010","348,435","506,028","108,431","230,511","362,010","515,792","127,298","256,581","402,507","617,016","146,864","320,975","520,503","758,668",,,,"967,805",,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,"293,630","331,339 �","333,943","418,248","437,223",,"437,232","417,003","664,875","682,505","700,935","710,847","704,946","683,884","664,469","661,589","651,751","640,806","625,556","607,447","661,162","639,685",,"630,012","623,326","613,935","605,076","630,061","667,257","680,582","701,996","756,344",,,,"866,735",,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,-,-,-,-,-,-,-,,,,-,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,"459,208","498,360 �","471,074","415,422","656,829","630,430                     656,829                            498,360","618,382","516,613","783,795","917,990","802,588","1,048,096","1,072,108","1,332,807","1,662,261","1,585,780","1,845,576","1,692,199","1,587,533","818,576","877,687","963,414",,"912,660","1,074,794","993,608","1,513,092","1,228,782","1,354,618","2,551,637","1,745,572","1,798,103",,,,"2,286,629",,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,"473,296","976,422 �","1,577,045","2,269,779","665,555","1,390,689                     665,555                            976,422",3.1-3.2,3.1-3.2,3.1-3.2,"470,169","695,160","996,716","367,082","769,410","1,186,424","1,623,535","398,640","833,434","1,276,356","1,745,044","468,643","967,063",,"2,047,484","566,970","1,141,457","1,739,284","2,416,532","693,415","1,452,790","2,199,169","2,922,288",,,,"4,079,378",,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,"299,832","618,175 �","994,788","1,452,701","473,959","985,497                     473,959                            618,175","1,512,381","2,096,038","614,002","1,278,747","1,993,419","2,770,799","674,050","1,280,110","1,863,342","2,486,979","620,858","1,198,181","1,730,581","2,231,604","487,196","931,311",,"1,773,842","400,031","776,328","1,149,165","1,564,730","460,349","996,409","1,835,601","2,989,082",,,,"4,911,242",,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,,,,3.1-3.2,3.1-3.2,3.1-3.2,"470,169","695,160","996,716","367,082","769,410","1,186,424","1,623,535","398,640","833,434","1,276,356","1,745,044","468,643","967,063",,"2,047,484","566,970","1,141,457","1,739,284","2,416,532","693,415","1,452,790","2,199,169","2,922,288",,,,"4,079,378",,,,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,"128,560","208,870","255,326","73,357","144,392","232,650","313,697","102,970","177,164","247,069","320,425","116,619","227,223",,"340,354","106,223","229,713","427,069","465,797","121,906","228,705","472,212","508,723",,,,"454,252",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,,,,,"95,173","20,276","53,163","86,990","141,762","38,132","73,677","113,997","157,756","38,745","86,606","138,885","217,267","43,147","90,551",,"307,691","57,989","119,480","120,364","318,084","89,091","209,643","204,729","446,167",,,,"512,581",,,,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,,,,"47,626","74,821","101,138","22,503","47,732","70,519","101,915","24,573","52,571","77,178","107,807","28,921","59,539",,"119,469","31,754","57,697","93,892","136,370","40,272","92,585","159,691","220,922",,,,"270,481",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,,,,,,,,,,"699,518","1,065,841","1,494,942","501,075","1,035,211","1,603,591","2,196,903","564,928","1,149,775","1,739,488","2,390,543","657,330","1,344,376",,"2,814,998","762,936","1,548,347","2,380,609","3,336,783","944,684","1,983,723","3,035,801","4,098,100",,,,"5,316,692",,,,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,"34,234","63,246","92,237","130,362","46,628","87,257                       46,628                              63,246","169,782","255,430","80,008","147,260","214,900","289,153","82,948","152,891","312,934","416,560","120,732","225,502","331,067","443,078","127,688","239,657",,"552,231","169,714","312,436","449,277","568,869","190,657","338,609","579,279","790,473",,,,"1,025,639",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,"218,030","346,658","461,251","107,853","222,741","343,557","477,247","112,100","226,010","348,435","506,028","108,431","230,511",,"515,792","127,298","256,581","402,507","617,016","146,864","320,975","520,503","758,668",,,,"967,805",,,,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,,,,,,,,,"334,228","504,283","744,538","310,273","659,579","947,100","1,303,095","332,096","698,263","1,059,986","1,441,437","421,211","874,208",,"1,746,975","465,924","979,330","1,528,825","2,150,898","607,163","1,324,139","1,936,019","2,548,959",,,,"3,323,248",,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,,,,,,,"27,446","52,628","91,695","5,717","32,195","41,718","43,861","24,547","62,834","66,204","71,810","13,269","16,118",,"52,124","34,770","55,581","56,781","61,242","18,012","26,835","23,609","28,035",,,,"9,497",,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,,,,,,,16,356,"2,266",642,"1,527","1,193",287,155,"2,506","3,616","8,728","1,073","2,179",,"10,709",497,970,"4,254","9,918",38,785,"4,886","5,608",,,,"11,388",,,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,,,,,,,"27,446","52,628","91,695","5,717","32,195","41,718","43,861","24,547","62,834","66,204","71,810","13,269","16,118",,"52,124","34,770","55,581","56,781","61,242","18,012","26,835","23,609","28,035",,,,"9,497",,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,,,,,,,,,,"316,353","496,391","760,487","253,189","598,411","861,708","1,218,628","345,769","717,015","1,055,924","1,439,008","402,614","838,777",,"1,693,167","477,916","983,690","1,493,329","2,112,072","556,881","1,192,375","1,783,465","2,394,695",,,,"3,090,168",,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,"322,403","502,441","748,284","254,778","600,237","863,534","1,220,955","350,110","721,356","1,060,265","1,443,139","402,614","838,777",,"1,713,207","477,916","983,690","1,493,329","2,112,072","556,881","1,192,375","1,783,465","2,413,695",,,,"3,126,168",,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,,,,,,,,,,"29,243","45,676","68,026","23,162","54,567","78,503","110,996","31,828","65,578","96,388","131,194","36,601","76,252",,"155,746","43,447","89,426","135,757","191,993","50,597","108,389","161,732","217,537",,,,"283,084",,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,,3.12-3.13),3.12-3.13),3.12-3.13),"204,701","319,006","475,629","162,131","381,856","549,409","775,990","222,797","459,045","674,714","922,984","256,210","532,780",,"1,065,438","302,071","623,928","950,300","1,331,995","354,415","758,796","1,107,713","1,539,325",,,,"1,949,160",,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,65.47%,68.72%,73.09%,80.05%,76.57%,79.89%,75.18%,74.67%,76.64%,76.40%,75.23%,78.17%,79.84%,77.97%,,74.82%,,,76.57%,79.51%,79.32%,,75.00%,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,8.54%,8.67%,9.49%,,,,,11.26%,10.96%,10.20%,10.46%,10.26%,10.17%,10.21%,9.79%,9.50%,9.15%,9.03%,8.37%,8.09%,,8.03%,7.68%,,7.11%,7.11%,7.26%,7.22%,7.65%,8.19%,,,,10.17%,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,4.14%,,,,,,,,5.36%,5.40%,5.49%,4.82%,4.60%,4.50%,4.44%,4.40%,4.25%,4.09%,3.99%,3.42%,3.23%,,3.17%,2.87%,2.70%,2.56%,2.55%,2.46%,2.53%,2.96%,3.54%,,,,5.45%,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,3.13%,2.82%,3.07%,2.89%,3.04%,,,3.57%,3.33%,2.58%,3.98%,4.20%,4.30%,4.43%,4.44%,4.37%,4.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,65.47%,68.72%,73.09%,80.05%,76.57%,79.89%,75.18%,74.67%,76.64%,76.40%,75.23%,78.17%,79.84%,,,74.82%,,,76.57%,79.51%,79.32%,,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,22.02%,20.11%,15.34%,,,,,13.96%,14.37%,14.43%,19.99%,23.07%,21.55%,22.13%,22.86%,23.16%,22.64%,22.85%,22.02%,22.33%,,21.51%,21.29%,21.54%,21.47%,22.16%,20.36%,21.35%,20.41%,20.54%,,,,16.65%,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,8.76%,9.31%,9.86%,9.66%,8.31%,8.02%,8.78%,8.17%,6.89%,,7.71%,6.47%,5.97%,5.55%,5.98%,6.08%,6.48%,8.21%,8.98%,,,,10.12%,,,,,,,,,,,,,,,,,,,,,,,
