Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,207,672,769","13,437,844,866","6,109,198,024","5,336,264,504","6,220,923,114","5,906,052,426                    13,680,340,769","6,082,396,002","6,399,240,529","4,139,301,069","3,286,751,102","3,113,259,797","4,529,556,921                                       3,261,141,415","5,432,893,242","5,040,139,639","5,059,754,121                                       5,040,139,639","5,446,464,348","5,263,030,226",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-                                           -,-,-,-,"3,493,918,012","3,493,918,012","3,493,918,012                                       3,493,918,012","3,493,918,012","3,494,336,625","3,494,471,766                                       3,494,336,625","3,494,081,325","3,494,216,466",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-                                           -,-,-,-,-,-,-                                                             -,-,-,-                                                             -,-,-,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,391,812,702","136,473,460,749","126,796,457,048","134,626,987,410","140,237,194,368","160,244,527,588","164,180,119,044","175,314,512,685","177,263,220,869","189,358,585,066","198,354,880,237","206,871,479,956","210,606,911,151","223,715,936,180","216,362,763,715","227,788,006,641","243,213,548,605",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,811,148,000","9,811,148,000","9,811,148,000","9,811,148,000","9,811,148,000","11,282,820,200                      9,811,148,000","11,282,820,200","12,636,758,624","12,636,758,624","12,636,758,600","12,636,758,624","14,405,904,831                                     12,636,758,624","14,405,904,831","14,405,904,831","14,405,904,831                                     14,405,904,831","14,694,022,928","14,694,022,928",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,262,810,756","3,262,810,756","3,262,810,756","3,262,810,756","3,262,810,756","1,788,700,292                      3,262,810,756","1,788,700,292","435,976,618","431,895,553","431,883,262","431,883,238","-                                            431,883,238",-,-,-                                                             -,-,-,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,186,621,622","3,018,626,817","3,086,066,961","2,598,297,252","1,852,595,279","4,125,071,768                      2,895,693,022","4,089,498,338","3,327,277,928","4,238,379,647","5,041,718,609","3,880,317,523","2,427,466,059                                       3,732,371,500","2,702,493,983","3,563,835,442","2,902,524,113                                       3,563,835,442","297,214,246","180,764,501",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,611,054,836","13,345,332,857","13,254,879,913","13,521,116,419","14,176,228,387","12,985,435,806                    13,311,684,737","13,696,645,705","15,593,407,583","16,840,596,347","15,148,358,564","17,225,601,418","17,469,662,634                                     16,414,132,658","17,552,091,721","17,816,719,878","18,784,993,262                                     17,816,719,878","19,983,670,703","20,679,800,140",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-                                           -,-,-,-,-,-,-,-,-,-                                                             -,-,-,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,871,635,214","29,437,918,430","29,414,905,630","29,193,372,427","29,102,782,423","30,182,028,066","30,857,664,535","31,993,420,753","34,147,630,171","33,258,719,035","34,174,560,803","34,303,033,524                                     33,215,146,020","34,660,490,535","35,786,460,152","36,093,422,207                                     35,786,460,152","34,974,907,877","35,554,587,569",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,263,447,917","165,911,379,179","156,211,362,678","163,820,359,837","169,339,976,791","190,426,555,654","195,037,783,579","207,307,933,437","211,410,851,040","222,617,304,101","232,529,441,039","241,174,513,481","245,267,401,686","259,502,396,331","252,456,185,921","262,762,914,518","278,768,136,175",,,,
