Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Term Loan,,,,,,,,,,,"2,867,442","3,137,762","3,389,735","3,425,601","3,491,987","3,667,564","3,509,158","3,227,090","3,287,582","3,592,062","3,769,454","3,755,657","3,866,112","3,940,874","4,260,045","4,495,293","4,748,394","5,178,046","5,513,143","5,971,068","6,266,107","7,215,406","7,554,274","8,169,567","8,708,235","9,092,312","13,039,021","11,992,798","12,810,721","12,630,295","11,349,046",,"15,123,595","16,631,665",,,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,"46,204",,"113,429","31,707","66,306","108,978","174,955","52,251","113,771","180,669","266,068","63,944","140,372","223,897","336,340","85,617","179,205","282,040","376,881","98,713","201,193","311,072","436,309","108,129","220,689","335,838","459,807","109,416","225,433","346,992","637,453",4,4,4,"489,677",,"337,800","531,146",,"1,643",,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,"92,867",,"112,106","122,695","139,847","205,899","366,931","393,921","393,101","404,302","406,651","400,162","391,652","395,734","358,713","391,631","378,154","363,382","453,510","486,530","471,153","471,836","440,491","450,474","866,734","421,483","409,852","442,932","438,633","450,123","762,264","648,424","639,921","686,898","621,916",,"843,531","933,298",,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,"230,331",,"178,914","451,211","425,373","457,756","222,454","491,591","307,107","436,444","284,885","356,421","541,439","495,094","669,663","751,654","875,704","809,504","772,564","1,366,232","1,338,827","1,364,084","1,516,345","1,477,164","1,212,218","1,360,786","1,069,193","1,333,264","1,353,041","1,037,691","2,010,342","2,465,566","1,415,484","1,830,216","1,446,131",,"1,873,429","2,016,206",,"1,928,395","2,057,355",,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,"220,708",,"451,691","129,203","280,778","405,045","611,758","182,849","359,508","568,785","764,494","142,175","342,457","531,515",3,"184,464","473,533","776,460","2,898,415","226,839","561,040","880,392","3,056,287","295,642","632,697","1,010,464","3,295,250",4,4,"1,339,864","2,913,165","627,223","1,313,320","1,911,900","4,117,569",,"1,396,759","2,200,522",,"1,259,028","2,318,488",,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,"330,842",,"813,619","271,924","578,926","954,965","1,406,540","449,713","902,482","1,385,617","1,925,801","538,207","1,036,712","1,533,711","2,048,914","467,947","883,106","1,298,961","1,742,839","447,647","877,947","1,285,895","1,708,866","431,011","869,788","1,325,959","1,859,407","512,048","989,847","1,450,399","3,973,959","666,508","1,463,138","2,600,591","2,000,902",,"2,960,489","4,664,411",,284,"2,099",,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,"220,708",,"451,691","129,203","280,778","405,045","611,758","182,849","359,508","568,785","764,494","142,175","342,457","531,515",3,"184,464","473,533","776,460",,"226,839","561,040","880,392",,"295,642","632,697","1,010,464",,"360,153","801,492","1,339,864","2,913,165","627,223","1,313,320","1,911,900",,,"1,396,759","2,200,522",,"1,259,028","2,318,488",,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,"34,797",,"72,888","10,345","19,485","30,031","42,758","13,791","26,035","41,348","68,049","21,567","40,985","64,641","108,181","28,681","53,769","81,708","113,067","41,529","86,024","122,093","159,355","47,242","94,011","139,046","178,708","39,552","83,415","130,163","183,804","42,334","82,640","129,114","173,917",,"167,918","267,192",,,,,,,,,,,,,,,,,,,,,,,,
