Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"319,577,861","319,577,861","401,222,561","404,222,561","404,222,561","404,222,561","604,222,561","604,222,561","575,593,610","639,730,173","653,510,169","652,916,735","652,916,735","1,078,397,513","1,299,749,013","970,645,677",,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,685,465","118,685,465","343,371,702","351,839,135","335,304,055","329,500,617","335,692,867","336,500,826","354,648,945","484,671,974","566,500,974","570,291,977","559,448,275","838,547,459","886,552,485","969,261,045",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,420,436,531","1,404,771,144","2,729,662,628","2,687,090,262","2,593,396,352","2,521,875,194","2,474,095,043","3,333,499,053","3,311,533,959","3,274,300,999","3,305,706,972","3,300,480,059","3,446,517,710","5,860,987,316","7,154,738,515","7,003,712,032",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,493,097","33,067,011","214,736,646","224,436,820","242,161,776","239,787,124","258,876,441","254,507,447","242,417,240","247,459,915","247,942,141","241,376,122","231,329,296","494,652,233","515,657,397","513,658,628",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217,890,404","266,722,534","298,501,279","318,691,759","275,376,428","251,858,263","193,235,520","199,730,795","241,636,589","404,313,012","419,605,034","522,620,408","538,134,316","407,963,971",,"276,023,447",,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,303,102,229","1,562,982,107","4,189,574,413","2,700,261,079","4,272,111,564","5,267,161,179","3,832,182,051","2,829,023,754","3,954,445,610","4,181,690,942","3,343,809,509","3,750,673,538","3,309,352,980","3,428,611,985","5,336,177,769","4,586,996,240",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"151,229,845,962","166,709,096,572","266,054,868,340","268,721,512,676","277,083,719,909","289,504,536,087","306,451,618,744","325,317,478,715","351,007,610,785","356,997,805,811","363,538,020,701","360,181,933,776","365,783,857,247","362,634,893,458","509,987,053,520","513,891,721,769",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,410,876,030","3,386,004,737","16,232,287,975","16,410,387,798",,,,,,,,,,,,,,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,231,800,211","1,060,591,974","5,107,878,768","3,025,330,868","1,339,361,371","974,981,514","5,674,979,615","11,279,386,207","10,893,998,526","15,902,201,975","15,507,462,832","18,317,281,978","14,780,507,756","8,773,007,756","1,363,494,122","749,822,456",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,971,516,298","4,581,066,896","4,540,475,536","4,442,514,273","3,513,155,965","3,770,343,513","4,354,681,055","4,433,009,888","3,937,643,934","5,120,526,935","7,935,754,683","8,080,680,522","8,071,217,800","1,323,311,971","3,941,232,435","3,995,028,968",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,173,675,921","327,095,886","971,794,012","1,401,355,126","1,328,560,105","451,481,532","1,002,787,633","1,543,593,348","1,940,186,246","543,423,894","1,134,381,755","1,667,942,315","2,428,362,225","533,908,034","1,319,164,106","1,842,212,140",,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"929,293,029","4,379,929",,,"6,358,547","9,548,501","16,956,492","7,080,144",,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,290,301",,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,522,597,332","3,423,862,812","4,984,241,059","4,973,735,968","3,819,586,904","5,050,497,196","5,913,656,185","4,823,256,951","5,349,509,073","10,534,569,100","6,604,008,105","7,008,322,264","7,278,083,898","8,333,354,146","12,958,067,302","9,989,288,893",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,496,452,596","1,496,602,653","1,496,749,995","1,496,901,089","1,497,064,851","1,497,231,208","1,497,394,554","4,497,563,966","4,497,743,610","4,491,987,736","4,492,269,237","4,492,557,458","4,492,869,348","4,493,185,668","7,193,495,778","12,181,170,240",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134,594,180,429","149,076,449,220","238,074,980,666","239,667,289,634","247,554,341,291","258,832,629,666","274,890,920,175","292,097,828,126","317,089,086,553","321,829,655,551","327,700,010,334","323,318,512,539","327,448,361,107","322,195,338,437","452,871,210,089","456,386,416,454",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,310,515,959","10,436,515,959","18,975,879,857","18,975,879,857","18,975,879,857","18,975,879,857","21,632,503,035","21,632,503,035","21,632,503,035","21,632,503,035","23,795,753,339","23,795,753,339","23,795,753,339","23,795,753,339","35,771,059,655","35,771,059,655",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,393,490","27,913,124","27,913,124","27,913,124","5,393,490",,,,,,,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,976,172,536","2,975,461,913","1,191,984,593","597,265,857","1,787,254,898","2,035,296,923","1,740,040,884","3,125,283,263","3,357,600,737","3,987,810,645","1,857,422,010","2,186,919,788","3,294,919,767","3,893,450,671","1,825,862,819","1,474,696,342",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,215,166,232","4,073,703,728","7,585,890,368","9,241,623,979","8,518,987,480","9,416,295,931","7,918,041,389","8,107,900,321","8,407,606,172","8,944,063,662","9,610,303,764","10,309,722,027","10,693,206,956","12,194,254,443","18,807,678,416","19,627,395,224",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,810,805","141,572,262",,"211,540,224",,,"270,113,261",,,,,,,"556,096,569",,"632,154,093",,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,635,665,533","17,632,647,351","27,979,887,675","29,054,223,042","29,529,378,618","30,671,906,421","31,560,698,569","33,219,650,588","33,918,524,232","35,168,150,261","35,838,010,367","36,863,421,236","38,335,496,140","40,439,555,021","57,115,843,431","57,505,305,315",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"151,229,845,962","166,709,096,572","266,054,868,340","268,721,512,676","277,083,719,909","289,504,536,087","306,451,618,745","325,317,478,715","351,007,610,785","356,997,805,811","363,538,020,701","360,181,933,776","365,783,857,247","362,634,893,458","509,987,053,520","513,891,721,769",,,,
