Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,"19,962",,2.7,"221,807",,"98,595","98,595",,,"97,359","123,613",,,,,,,,,,"144,690",,,"91,917",,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,"245,049","411,998","302,027","369,046","245,543",,"360,846","432,351","521,804","1,286,533","1,271,586",3,"1,022,405",,"879,282","1,692,051","1,439,879",,"1,282,227","1,917,707","1,180,999","1,184,962","1,447,150","1,831,427","1,707,349","1,518,133","1,635,672","2,417,127","2,590,755","2,944,588","2,917,541","3,398,345","2,675,930","4,138,366",,,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,3.1,,,3.1,,,3.1,,3.1,3.1,,3.1,3.1,,,3.1,3.1,,,,,,,,,,3.1,,,3.1,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,"1,465,260","176,595","353,709","516,988","1,963,604",,"303,887","1,601,449","2,966,892","282,570","1,559,294",3.3,"1,378,421",,"789,771","1,230,369","3,809,521",,"1,154,006","1,730,905","4,660,495","1,174,693","2,402,287","3,626,918","4,988,277","1,423,185","3,009,010","2,050,508","7,452,050","4,589","5,500,777","8,327,831","31,576","3,237,242","6,564,734","3,442,264,534",,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,"962,010","312,920","622,418","941,831","1,182,000",,"743,191","1,139,225","2,037,418","492,802","927,965",,"1,826,785",,"970,192","1,425,601","2,052,545",,"1,140,766","1,718,055","2,371,095","587,949","1,077,645","1,553,323","2,082,373","596,239","1,317,745","2,373,427","3,810,308",601,"3,740,695","5,671,540","2,277","2,010,157","4,128,232","2,085,637,792",,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,"503,250","176,595","353,709","516,988","675,553",,"303,887",3.13.2,"929,474","282,570",3.13.2,3.3,"1,378,421",,"789,771","1,230,369","1,756,976",,"1,154,006","1,730,905","2,289,400","586,744",3.13.2,3.13.2,"2,905,904","826,946",3.13.2,3.13.2,"3,641,742","706,744",3.13.2,3.13.2,"3,903,960",3.13.2,"2,436,502","1,356,626,742",,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,"26,376","44,166","60,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,"75,453","28,086","32,585","47,967","84,979",,"22,779","35,724","92,877","18,373","43,054",3.5,"216,163",,"62,103","96,292","286,001",,"173,302","269,122","386,009","98,180","218,561","334,837","498,436","150,394","298,459","421,071","540,831","147,539","299,120","454,495","442,397","161,093","288,608","39,699,502",,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,"35,363","35,363",,,"30,936",,"24,820","34,304","50,541","17,899","32,271",,"73,148",,"67,015","97,548","138,418",,"77,167","141,936","200,436","86,022","143,061","206,555","251,095","58,755","138,261","198,996","279,708","76,367","158,629","247,225","352,241",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,,,,"708,391","239,611","445,839","647,181","858,986",,"418,722","633,335","1,250,269","390,322","825,045",3.6,"1,839,261",,"1,035,014","1,617,021","2,407,756",,"1,521,098","2,316,505","3,176,323","830,712","1,798,298","2,786,971","3,988,408","1,127,070","2,294,902","3,554,676","4,872,376","1,052,097","2,420,531","5,049,452","5,155,693","1,669,731","3,235,454","1,743,304,653",,,,,,,,,,,,,,,,,,,,
