Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,724,712,000",1,"1,724,712,000","1,724,712,000","1,724,712,000",,"1,724,712,000",4,"4,777,116,000","4,777,116,000","4,771,716,000","4,771,716,000","4,771,716,000","6,819,816,000","9,371,099,333",9,9,,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,007,183,887",9,"103,350,015,922","108,012,398,217","112,082,529,904","113,390,072,085",1,1,"134,594,926,072","145,728,960,827","157,513,572,275","161,157,856,563","165,192,520,961","175,364,196,504","177,728,675,727",1,1,,,,
Equity,,,,,,,,,,,,,,,,,,,,,,,,,1,,14.81,15.68,,,,,17.58,,21.32,22.02,,,18.57,18.03,14.35,14.22,16.64,1577,,,,,,,,,",",,,,,,,,,,,,,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,001,255,440",8,"8,801,380,984","8,801,380,984","8,801,380,984",,"8,801,380,984",9,"9,681,519,082","9,681,519,082","9,681,519,082","11,327,377,326","11,327,377,326","11,327,377,326","11,327,377,326",1,1,,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,147,035,397",1,3,"1,037,616,110","664,928,665",76,"1,141,151,636",9,"1,492,536,983","1,784,060,433","2,024,916,287","648,465,339","799,610,252","1,550,593,544","1,825,285,096",1,1,,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314409,,"2,096,682,826",2,"2,546,948,667","2,417,602,349","3,246,275,273",,"3,304,173,099",3,"3,328,524,400","3,530,060,794","3,810,015,632","3,981,895,193","4,319,204,400","4,336,376,122","4,315,401,568",4,4,,,,
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,244,973,663",1,"11,699,355,493","12,256,599,443","12,712,584,922","12,773,277,476",1,1,"14,502,580,466","14,995,640,309","15,516,451,001","15,957,737,858","16,446,191,978","17,214,346,993","17,468,063,991",1,1,,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,244,973,663",1,"11,699,355,493","12,256,599,443","12,712,584,922","12,773,277,476",1,1,"14,502,580,466","14,995,640,309","15,516,451,001","15,957,737,858","16,446,191,978","17,214,346,993","17,468,063,991",1,1,,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,252,157,550","109,076,640,868","115,049,371,416","120,268,997,660","124,795,114,825","126,163,349,562","131,542,934,232",1,"149,097,506,538","160,724,601,136","173,030,023,276","177,115,594,421","181,638,712,940","192,578,543,497","195,196,739,717",1,2,,,,
