Particulars, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Operating Profit before provision,"201,866","297,172","376,417","116,875",2*,3*,"438,854",1*,"248,643","391,842",5*,"104,534",2*,"395,807",6*,"157,228","413,290","666,939",,"237,210","542,438","798,065","1,250,136","259,562",,,"1,212,495",3*,,,"2,452,014","567,120","1,181,193","1,812,765",,"1,245,722","1,963,147","2,984,917",,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,4*,,,,,,,,,"20,871",,,2*,"8,100",,,"8,100","8,100",,,"266,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,"172,521","253,345","347,660","99,770",2*,2*,"384,391",1*,"219,620","376,381",4*,"41,235",1*,"232,966","518,929","31,327","191,994","453,910","793,511","161,536","381,225","569,852","1,245,253","237,862","530,272","879,982","1,200,890",2*,"781,674","1,258,082","2,606,476","594,589","1,207,515","1,769,240","1,960,763","1,274,126","2,046,344","3,061,310",,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,8*,"8,857",,,,,,,,,,,,,,,,324,,,,,,,,1*,133,"1,003",,,863,864,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,046,744","3,064,710",,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,1*,"23,031",3*,9*,1*,2*,3*,1*,"19,965",3*,"45,375",3*,"13,313",2*,4*,"3,083","16,589","40,594","70,974","15,087","34,655","51,954","113,203","21,638","48,219","80,090",1*,2*,"71,061","114,371","230,273","54,054","109,853","160,918",1*,"115,866","186,068","278,337",,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,3*,,,,,,"112,843","278,738",,"101,511","242,954","362,561","791,467","151,989",,,,1*,,,,"379,711","772,034","1,138,531",,,,"1,955,044",,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,162,257",,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,10.98,10.30,10.45,11.20,10.62%,10.31%,11.05%,12.18%,11.30%,11.45%,11.75%,10.66%,10.39%,11.16%,11.54%,11.11%,10.68%,11.14%,12.28%,12.07%,11.50%,11.73%,12.27%,11.03%,11.61%,11.30%,11.19%,10.94%,11.12%,10.52%,13.21%,11.34%,11.63%,11.65%,11.12%,12.47%,,12.47%,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63%,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,2.30%,2.62%,2.85%,3.53%,3.72%,3.50%,2.38%,3.33%,3.40%,3.52%,3.37%,3.95%,4.11%,4.39%,3.33%,4.09%,4.17%,4.94%,4.77%,4.98%,4.78%,4.35%,3.48%,4.01%,4.26%,3.37%,3.90%,4.04%,3.79%,4.37%,3.80%,3.68%,4.58%,4.77%,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,85.53%,,,,,,,,,,,,77.26%,,76.46%,75.40%,75.28%,,76.25%,77.83%,78.35%,,78.84%,77.50%,78.18%,76.71%,78.30%,77.92%,75.09%,77.55%,78.33%,,74.23%,79.47%,78.77%,,,,,,,,,,,,,,,,,
Earning Per Share(Annualized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.37,25.32,,,,,,,,,,,,,,,,,
Return on Equity(Annualized),,,,,,,,,,14.43%,13.47%,,,,,,9.54%,15.36%,18.34%,15.20%,17.68%,16.92%,24.03%,18.33%,19.61%,20.52%,,17.56%,23.03%,23.12%,14.30%,20.66%,18.84%,15.80%,19.91%,13.85%,14.16%,14.56%,15.07%,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24%,,,,,,,,,,,,,,,,,,
