Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2073.JPG, Q2 2072.JPG, Q2 2073.JPG, Q2 2075.JPG, Q3 2072.JPG, Q3 2073.JPG, Q4 2072.JPG
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","1,000,000","1,000,000","2,999,824","2,993,564","2,993,672","5,637,074","5,636,695","5,636,695","5,636,695","5,637,773","5,638,025","7,838,025","7,838,025",,,,,,,,,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,509,095","135,027,275","152,332,945","161,643,917","191,630,295","195,397,826","198,908,271","197,151,743","201,045,670","205,594,002","212,286,018","203,869,762","310,804,219","308,454,019",,,,,,,,,,,
Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19%,15.95%,,,,,,,,,,22.22%,11.54%,,,9.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,315,507","10,315,507","10,315,507","10,315,507",,,"11,347,057","11,347,057","12,708,704","12,708,704","12,708,704","12,708,704","23,542,490","23,542,490",,,,,,,,,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,050,055","794,305","1,106,951","1,417,172",,,"1,923,307","2,055,170","852,531","1,072,602","1,683,724","1,929,253","504,062","41,098",,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"419,775",1,,,,,,,,,,"2,051,535","2,766,473",,,"3,410,230",,,,,,"3,854,931","4,533,724","4,181,191","4,304,612",,,"4,457,816","4,717,543","4,883,354","5,385,874","5,610,378","6,070,830","9,079,770","10,269,584",,,,,,,,,,,
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,220,492","15,643,536","15,603,649","16,037,290",,,"17,728,180","18,119,770","18,444,589","19,167,180","20,002,806","20,708,787","33,126,322","33,770,976",,,,,,,,,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,385","108,650","404,546","416,789",,,"694,179","618,997","588,292","563,145","541,576","492,392","540,523","541,971",,,,,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,326,877","15,752,186","16,008,195","16,454,079",,,"18,422,359","18,738,767","19,032,881","19,730,325","20,544,382","21,201,180","33,666,844","34,312,946",,,,,,,,,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,835,972","150,779,461","168,341,140","178,097,996",,,"217,330,629","215,890,510","220,078,551","225,324,327","232,830,400","225,070,942","344,471,063","342,766,966",,,,,,,,,,,
